Quantidade Iterações: 8540
Tempo de execução do método: 124.0325078 segundos

vetor x:
x106: -0.6444026828	
x107: -0.1751075089	
x108: 0.8798950315	
x109: -0.786446631	
x110: 0.2488834709	
x111: -1.153583884	
x112: 0.5189532042	
x113: 2.245100975	
x114: -0.1532911658	
x115: -0.3932164311	
x116: 1.669938803	
x117: -0.9293491244	
x118: -0.3681349456	
x119: -0.02453258447	
x120: 0.6150527596	
x121: -1.081185818	
x122: -0.9601207376	
x123: 0.3118941784	
x124: -0.1818904728	
x125: -1.66895926	
x126: -1.716756105	
x127: -1.725486875	
x128: 0.0262423344	
x129: 0.4593594968	
x130: 0.6730881333	
x131: -1.056175351	
x132: -2.005234718	
x133: 0.5976275206	
x134: -0.07901842892	
x135: -0.01276953984	
x136: -0.4013279676	
x137: -0.3070073128	
x138: 1.906100512	
x139: -0.1497155726	
x140: 0.5147107244	
x141: -2.167587757	
x142: -1.483843923	
x143: -0.7784190774	
x144: 0.1498640925	
x145: 0.3645159006	
x146: 2.512429476	
x147: -1.754904032	
x148: -1.725931406	
x149: -0.279180795	
x150: -0.8676396012	
x151: -1.037015676	
x152: 0.9542475939	
x153: -0.4255406857	
x154: 0.4694426954	
x155: 0.2041496933	
x156: -1.600167155	
x157: 0.7661319971	
x158: -0.256252259	
x159: -0.6623188257	
x160: -0.1535678655	
x161: 0.3927460313	
x162: 1.104141831	
x163: 0.1010550857	
x164: -1.725931764	
x165: 0.8328559995	
x166: -0.5481665134	
x167: 1.843298078	
x168: 0.6079087257	
x169: 0.6518036127	
x170: -0.343587935	
x171: -0.84602952	
x172: -0.7328978181	
x173: -1.299830198	
x174: -0.8271119595	
x175: 1.178274155	
x176: -0.6021308303	
x177: -0.06366168708	
x178: 1.553076982	
x179: -0.503237009	
x180: -0.2061927766	
x181: 0.686373353	
x182: 0.1942282468	
x183: 0.457201004	
x184: -0.3839781582	
x185: -0.1827310622	
x186: 1.613845229	
x187: 2.015218019	
x188: -0.04085013643	
x189: -0.7807716727	
x190: -0.09775397927	
x191: -0.5845676661	
x192: -0.7259123921	
x193: -1.981957078	
x194: -1.557887197	
x195: -0.03738633543	
x196: -0.6553192735	
x197: 1.313839316	
x198: -1.859865785	
x199: -0.9375660419	
x200: 0.4936678112	
x201: 0.4596971571	
x202: -0.449734211	
x203: -1.013168573	
x204: -2.381198406	
x205: -0.485992223	
x206: 0.4591590166	
x207: -0.1315628886	
x208: -1.38000536	
x209: 0.944732368	
x210: 0.7257279158	
x211: -0.2018161565	
x212: 0.07054105401	
x213: 0.06177427247	
x214: 0.1662932187	
x215: 0.7595428824	
x216: -0.3728328347	
x217: 1.57626915	
x218: -1.157674551	
x219: -0.3350946307	
x220: -0.8142275214	
x221: -0.6793050766	
x222: -1.665707469	
x223: 1.151756763	
x224: 0.06209360063	
x225: -0.1413143426	
x226: 0.08161266148	
x227: -0.7255648375	
x228: -0.3849691153	
x229: 0.8821524382	
x230: -0.08199424297	
x231: 0.495390743	
x232: 0.6395297647	
x233: 1.012120724	
x234: -0.5512150526	
x235: -0.7617058158	
x236: 0.3627981842	
x237: -0.9596799612	
x238: 1.158542991	
x239: -1.090590358	
x240: 1.074162364	
x241: 1.608796716	
x242: -1.306347966	
x243: 1.164063215	
x244: 0.500736475	
x245: 0.09721147269	
x246: -0.2566081285	
x247: -0.2045411915	
x248: 0.8638837337	
x249: -0.6659318209	
x250: -0.6292210817	
x251: 3.070694447	
x252: 1.57168293	
x253: 1.06724906	
x254: 0.9378097653	
x255: -0.04576401785	
x256: -1.760131717	
x257: -0.2117999345	
x258: 0.7404767275	
x259: 0.650406003	
x260: 1.58309567	
x261: 1.200636744	
x262: 0.4321134984	
x263: -0.5736266971	
x264: -0.3047566116	
x265: 0.4883475602	
x266: -0.4934620857	
x267: -0.4673942626	
x268: 1.431552172	
x269: -0.1567824185	
x270: -1.604420304	
x271: -2.216113567	
x272: 0.2216516137	
x273: -0.5027806759	
x274: -0.4213187099	
x275: -0.1636952609	
x276: 0.01298065484	
x277: -1.043531775	
x278: -0.04994913936	
x279: -2.220440388	
x280: -0.9588233232	
x281: -0.4192862511	
x282: 0.2520950139	
x283: 0.2523498237	
x284: 1.241121888	
x285: 1.65651989	
x286: 0.4189892113	
x287: -0.8527128696	
x288: 0.5069552064	
x289: 1.2262218	
x290: 1.101616859	
x291: 0.07568083704	
x292: -1.482564688	
x293: -1.315837145	
x294: -0.3933883607	
x295: 0.4931769073	
x296: -0.6170101762	
x297: -1.596590519	
x298: 1.29307127	
x299: -0.4806366265	
x300: 0.9721428752	
x301: 0.4087190926	
x302: -1.333796263	
x303: 0.02645130642	
x304: 0.6450225115	
x305: -0.7147266269	
x306: -0.7234621048	
x307: 0.291031152	
x308: -1.067290664	
x309: -0.7112822533	
x310: 1.296070695	
x311: -0.3737131953	
x312: 0.4246289432	
x313: -0.5189853311	
x314: -1.573977947	
x315: -0.5089002848	
x316: -0.5921335816	
x317: 0.1703415364	
x318: -0.5339252353	
x319: 0.9793749452	
x320: -2.086961031	
x321: 0.3577000201	
x322: -0.5636470914	
x323: 0.9330382347	
x324: 0.03655210882	
x325: 1.600030422	
x326: -0.4404707849	
x327: -0.349595964	
x328: 0.4430398643	
x329: 1.021143436	
x330: -1.240402937	
x331: -2.682639837	
x332: -0.2231323272	
x333: 0.2160671651	
x334: 1.490221739	
x335: -0.2937841117	
x336: 0.0586063154	
x337: 0.6371455193	
x338: -0.651922822	
x339: -1.047561049	
x340: -0.2636021972	
x341: -1.810441494	
x342: 0.4716329575	
x343: -1.070379615	
x344: -1.589748263	
x345: 0.024288496	
x346: 0.4440351725	
x347: -0.2690047622	
x348: 0.4963194728	
x349: 0.7194885612	
x350: 0.6470691562	
x351: -0.2428242564	
x352: 0.2303385884	
x353: -0.5873831511	
x354: 1.474477649	
x355: -0.7552903295	
x356: -1.18797791	
x357: -0.6616954803	
x358: -0.7298789024	
x359: -1.314264297	
x360: -1.312756181	
x361: 1.693430185	
x362: 0.0311312899	
x363: -0.959862113	
x364: 1.030920029	
x365: -0.9947251678	
x366: 1.497868419	
x367: -0.3280871809	
x368: -0.8051998615	
x369: 1.283667564	
x370: -0.5944234729	
x371: -0.02785901912	
x372: 0.6902735233	
x373: 0.2534111738	
x374: -0.6761008501	
x375: -2.143424749	
x376: -0.8193164468	
x377: 0.645206809	
x378: 1.039048314	
x379: 0.208188504	
x380: 0.8895924091	
x381: 0.2852184772	
x382: 1.414583325	
x383: 1.46138978	
x384: -0.6211288571	
x385: -0.01772351936	
x386: 0.56332165	
x387: 1.2453022	
x388: 0.109561488	
x389: -0.5529896021	
x390: -0.06812658161	
x391: -1.37126255	
x392: -0.5705516338	
x393: -0.8979466558	
x394: 0.1438309997	
x395: -0.2826667428	
x396: 1.107069373	
x397: 0.1577791423	
x398: -1.172245264	
x399: 0.4004933238	
x400: -1.034035444	
x401: 0.1684384346	
x402: 2.406327248	
x403: -0.4766271114	
x404: 0.1626291871	
x405: 1.106725216	
x406: -1.054228902	
x407: 1.215137243	
x408: -0.4400613904	
x409: 0.7934143543	
x410: -0.5731241703	
x411: 1.691337585	
x412: 1.153779864	
x413: -0.7255874276	
x414: 1.78970623	
x415: -0.3189848065	
x416: 0.7670218945	
x417: 0.1382510811	
x418: -0.04453771934	
x419: 1.991291523	
x420: -1.578358173	
x421: -1.557223082	
x422: 0.7720681429	
x423: -2.203411102	
x424: 0.7817745805	
x425: 1.267103195	
x426: -1.526347041	
x427: -0.07250150293	
x428: -0.6387682557	
x429: 0.8926449418	
x430: -0.6733309031	
x431: 0.7636987567	
x432: -0.8044211864	
x433: 1.03725636	
x434: 0.332646668	
x435: -1.226078987	
x436: -1.191309929	
x437: 0.01641285047	
x438: -2.018306494	
x439: 0.8754696846	
x440: 1.436161637	
x441: 0.6210321784	
x442: -1.187807441	
x443: 0.2001356333	
x444: 2.197340488	
x445: 1.217299461	
x446: 0.5054025054	
x447: 0.8337052464	
x448: 1.302993417	
x449: 0.1516427249	
x450: -0.1469595879	
x451: -0.3102299869	
x452: 0.1210691035	
x453: -0.2727490664	
x454: -0.8045945764	
x455: -0.970144093	
x456: 0.5673753619	
x457: -0.6056079268	
x458: -0.981680274	
x459: -1.411841869	
x460: -1.414072752	
x461: 0.6460986733	
x462: -0.4045660496	
x463: 0.5785387754	
x464: 1.174892664	
x465: -0.3073414266	
x466: 0.6849421859	
x467: 2.855443478	
x468: -0.3758729994	
x469: 0.407107085	
x470: -0.3459721208	
x471: 1.076453805	
x472: -0.4407122135	
x473: -0.4576360881	
x474: 0.622502923	
x475: -0.06222183257	
x476: -0.7250983119	
x477: -2.207269669	
x478: -1.44831264	
x479: -0.5810903311	
x480: 0.7478910685	
x481: 0.6585155129	
x482: 0.5057879686	
x483: 0.987437427	
x484: -0.2397437543	
x485: 0.3412123024	
x486: -0.102198489	
x487: 0.4089018106	
x488: -0.2258124352	
x489: 0.9924783707	
x490: -1.601966023	
x491: 2.32166338	
x492: -0.3104977906	
x493: -1.272328615	
x494: -1.185232639	
x495: -0.08145154268	
x496: 1.261638045	
x497: -0.983446002	
x498: 0.3789054751	
x499: -0.8658671975	
x500: 0.9146010876	
x501: -0.5917177796	
x502: -0.8375371099	
x503: 2.136409998	
x504: 0.2395059317	
x505: 1.268263102	
x506: 0.9175748229	
x507: 0.1703810096	
x508: 1.313541889	
x509: -0.1539120674	
x510: 0.5062552094	
x511: -1.593546867	
x512: -1.261702061	
x513: 0.7255183458	
x514: -0.3937774301	
x515: -0.449814558	
x516: 0.3446314037	
x517: -2.668627977	
x518: -0.3998460174	
x519: -1.11938107	
x520: 0.432855159	
x521: -0.0088910833	
x522: -1.571405292	
x523: -0.1387150139	
x524: -0.2651140392	
x525: 0.4850441813	
x526: -0.664956212	
x527: -1.388708949	
x528: -0.1147556007	
x529: 0.4621564448	
x530: 0.3217947781	
x531: 0.6215342283	
x532: -0.9757688046	
x533: -0.8908996582	
x534: -0.7080698609	
x535: 0.5783581734	
x536: 0.2447860837	
x537: 0.3121641278	
x538: 0.9787358046	
x539: 0.6389319897	
x540: -0.2128418982	
x541: 0.122970365	
x542: 2.189491749	
x543: 1.403132677	
x544: -0.4870331585	
x545: -1.903078437	
x546: -0.4308246076	
x547: 0.0958744064	
x548: -2.035942793	
x549: 1.264621973	
x550: 1.381118774	
x551: -0.04981283844	
x552: -0.4302832186	
x553: 0.7133442163	
x554: 0.6930660605	
x555: -0.1660495251	
x556: -0.5942402482	
x557: 0.2197295129	
x558: 1.8236866	
x559: -1.492777348	
x560: 1.680336237	
x561: -1.873874784	
x562: -0.8745245337	
x563: 0.5369372964	
x564: 1.072026968	
x565: -0.9009137154	
x566: -0.2211724222	
x567: -0.8534975052	
x568: -1.578476667	
x569: 1.103757024	
x570: -0.5185114145	
x571: -0.006509406026	
x572: 2.075993061	
x573: 0.3047996163	
x574: -0.06311896443	
x575: 0.6834209561	
x576: 0.203521654	
x577: -1.243149161	
x578: 0.6975966096	
x579: -0.02821800672	
x580: -0.125552848	
x581: 0.7254186273	
x582: 0.1590796113	
x583: -0.5843324661	
x584: -1.243716121	
x585: 0.6149362922	
x586: 0.7512593269	
x587: 0.1671120673	
x588: 0.05567234755	
x589: -0.1257399321	
x590: -0.1542401761	
x591: -0.2459203899	
x592: 1.397787452	
x593: 1.124871612	
x594: -0.4085274041	
x595: 0.704116106	
x596: -0.6153196692	
x597: -0.7522845864	
x598: -0.1576661319	
x599: 0.1719352156	
x600: -0.6007375121	
x601: -1.474422097	
x602: 0.7652103901	
x603: -0.4811915457	
x604: -0.01203857269	
x605: 0.5498023033	
x606: 0.04852811247	
x607: -0.01212775614	
x608: 0.3227763772	
x609: 0.5140712857	
x610: -0.6110658646	
x611: 0.3175087869	
x612: 0.5722979307	
x613: 0.3183917999	
x614: -1.556981802	
x615: 1.113200307	
x616: -1.074443817	
x617: 1.911189914	
x618: -0.6954089403	
x619: -0.2534778416	
x620: 1.055494428	
x621: -1.391912699	
x622: 0.4300801456	
x623: 0.7020576	
x624: 0.5043965578	
x625: -0.7605881095	
x626: 0.421769172	
x627: -1.012859464	
x628: 0.2655676305	
x629: -0.5849376321	
x630: 0.1562042981	
x631: -0.8487832546	
x632: 0.3802038431	
x633: -0.5248011947	
x634: -0.8846471906	
x635: -2.239163637	
x636: 0.4379420877	
x637: 1.705935478	
x638: -0.5878152251	
x639: 1.406496167	
x640: -0.2169836462	
x641: -0.8444396853	
x642: 0.05051189288	
x643: -0.4403090477	
x644: 0.6624493599	
x645: -0.8911591768	
x646: 0.0976049304	
x647: 0.2560571134	
x648: 0.09561435878	
x649: 0.2549895942	
x650: -0.4550419152	
x651: -1.510337949	
x652: 0.3067820072	
x653: -0.9768355489	
x654: 1.082501173	
x655: -0.3390436471	
x656: 0.8317838907	
x657: 1.693398356	
x658: -0.3701319396	
x659: -0.6324728131	
x660: 1.081108332	
x661: 0.2863832712	
x662: 0.006855493877	
x663: 0.1118826345	
x664: -0.7692660093	
x665: 1.019683957	
x666: -0.4899623096	
x667: 1.080127716	
x668: -0.5160415173	
x669: 1.426122189	
x670: 0.2674202025	
x671: -3.13232255	
x672: -0.2121211141	
x673: 1.230532289	
x674: -0.3482095599	
x675: -0.6798892617	
x676: 0.4196799994	
x677: 1.434936762	
x678: 0.7129574418	
x679: 0.08440918475	
x680: 0.4864359498	
x681: 0.4896451533	
x682: -0.2087370008	
x683: 0.3691070676	
x684: -0.04133012891	
x685: 0.6731670499	
x686: 0.5928874016	
x687: -1.455651283	
x688: -0.574942708	
x689: -1.258418083	
x690: 0.06825151294	
x691: -2.305442095	
x692: -0.1456635147	
x693: 1.030633569	
x694: 0.408873111	
x695: 1.384201288	
x696: -0.04183451086	
x697: -0.5649133921	
x698: -1.861782312	
x699: 2.608613014	
x700: 0.2639549971	
x701: 1.03888154	
x702: 0.5086123943	
x703: -0.4138562977	
x704: -0.3460486829	
x705: -2.550829411	
x706: -1.032486916	
x707: -0.4502565265	
x708: -0.6872026324	
x709: 0.7016761303	
x710: 0.4308275282	
x711: -0.5318524837	
x712: -1.210222244	
x713: 0.7563163042	
x714: -0.1057478786	
x715: 0.3089035749	
x716: 0.3208877146	
x717: -0.1445370167	
x718: 0.6912670135	
x719: 0.2031139135	
x720: 0.0219342988	
x721: -1.089360356	
x722: 0.01535467524	
x723: 0.892467618	
x724: -0.4330451488	
x725: 0.376898855	
x726: 0.6109095216	
x727: 3.306627512	
x728: -0.7423046827	
x729: -0.2277028263	
x730: -0.4535374045	
x731: -1.556483507	
x732: 0.1602953821	
x733: 0.3021272123	
x734: -0.3856348693	
x735: -0.06801916659	
x736: -0.1253336519	
x737: -0.32504794	
x738: -0.8763220906	
x739: -0.7419097424	
x740: -0.93953228	
x741: 0.6765258908	
x742: -0.04814918339	
x743: 0.3058933914	
x744: -0.7230994105	
x745: -2.188265562	
x746: 0.02796171047	
x747: 0.6044203639	
x748: 1.121995568	
x749: -1.843120694	
x750: 0.2755376995	
x751: 0.1372831911	
x752: 0.02503589168	
x753: -0.1316021979	
x754: 1.923774481	
x755: -1.178736091	
x756: 0.1807475984	
x757: 0.4212630689	
x758: -1.997124672	
x759: 0.4185192585	
x760: 1.437859178	
x761: -0.3068835437	
x762: -0.3112020493	
x763: -1.476021171	
x764: 0.2833619416	
x765: 1.016983628	
x766: -1.276867986	
x767: -1.37076211	
x768: -0.6196286082	
x769: 0.07697372884	
x770: 1.101776242	
x771: 0.5432124138	
x772: -0.1009787694	
x773: -0.8621786833	
x774: 0.04242056981	
x775: 0.5205106735	
x776: -0.7400184274	
x777: 0.2118911594	
x778: 0.252138555	
x779: 1.308735728	
x780: 1.538389087	
x781: -1.88085103	
x782: 1.076963305	
x783: -0.6668542624	
x784: -1.329640269	
x785: -0.6235044599	
x786: -0.4943507314	
x787: 0.2955478132	
x788: -0.2325062156	
x789: -1.368739605	
x790: -0.3647627234	
x791: -1.92366612	
x792: 1.566069603	
x793: -0.6598047614	
x794: 0.6793985963	
x795: 0.6514214873	
x796: -0.6701541543	
x797: -1.542854786	
x798: -1.547055244	
x799: 0.7916493416	
x800: -0.1349083632	
x801: 1.047790647	
x802: -0.4828871787	
x803: -2.942141056	
x804: -1.099854827	
x805: 0.7811191082	
x806: 0.1933494508	
x807: 1.856361866	
x808: 0.3323121965	
x809: -1.807196498	
x810: 2.468720913	
x811: 1.0591259	
x812: -1.473646641	
x813: 0.2074288428	
x814: -0.05795834213	
x815: -0.7710770369	
x816: -1.826835275	
x817: -0.9599736929	
x818: 0.2616344094	
x819: -0.5687057972	
x820: -0.8698074818	
x821: 0.03659936041	
x822: 2.593353033	
x823: 0.2333516181	
x824: 0.7571787834	
x825: -0.5534075499	
x826: -1.569308281	
x827: -1.138854265	
x828: 0.5306480527	
x829: 0.03666401282	
x830: -0.05851593241	
x831: 0.8496732116	
x832: 2.070020914	
x833: 0.951936543	
x834: -0.3456634879	
x835: 0.2903974056	
x836: 0.9305201769	
x837: 0.059922833	
x838: 1.463073254	
x839: 1.225803971	
x840: 0.5890776515	
x841: -1.566344738	
x842: -1.205899	
x843: -1.018639922	
x844: 1.038051367	
x845: -0.03536748514	
x846: 1.891803145	
x847: -0.1295631677	
x848: -0.01959523372	
x849: -0.2330195308	
x850: 1.275120854	
x851: 1.045149446	
x852: 0.1780435294	
x853: -0.5086758733	
x854: -0.3836725354	
x855: -0.3711844683	
x856: 0.673194766	
x857: 1.005994439	
x858: 1.637253881	
x859: 1.030597448	
x860: -1.08546555	
x861: 0.9986435771	
x862: 0.1191822067	
x863: -0.7163174748	
x864: -0.207864821	
x865: -0.1512287259	
x866: -0.00480189966	
x867: 0.1350810677	
x868: -0.1420176625	
x869: -0.4510387182	
x870: 1.226238966	
x871: 1.440930367	
x872: 0.5390908718	
x873: 0.06394927949	
x874: 1.416402459	
x875: -0.3744412661	
x876: -0.3068871796	
x877: 0.05137742683	
x878: 0.990829885	
x879: -0.1070262715	
x880: 0.5441951156	
x881: -0.1050359905	
x882: 0.218217954	
x883: -1.982704639	
x884: 1.392164588	
x885: 1.002129912	
x886: -1.064506888	
x887: -2.479040861	
x888: 1.652766705	
x889: 0.05512524769	
x890: 0.9300364852	
x891: 0.5892090201	
x892: 0.4100521803	
x893: 1.170155287	
x894: 0.4726321399	
x895: -1.708222508	
x896: 0.676536262	
x897: -0.3433594704	
x898: 0.1910207868	
x899: 0.2167962939	
x900: 0.3405382335	
x901: -0.5602720976	
x902: -0.5738937259	
x903: -1.076527238	
x904: 1.094801188	
x905: 0.09180747718	
x906: 0.4512034655	
x907: 1.032927871	
x908: -1.157829762	
x909: -1.136458278	
x910: -0.1778520644	
x911: 0.6891410947	
x912: -0.8702961206	
x913: -0.752807498	
x914: 0.5330154896	
x915: 0.3132349253	
x916: 0.5561595559	
x917: 0.6916770935	
x918: 1.043770075	
x919: -1.737395406	
x920: 0.144122526	
x921: 0.3678231835	
x922: -1.701758742	
x923: 0.09294285625	
x924: 1.06726861	
x925: -1.520892739	
x926: 0.04227433354	
x927: -0.5759521723	
x928: 0.7071499228	
x929: -1.122021794	
x930: -1.130164146	
x931: 1.295158863	
x932: 0.4827730954	
x933: 1.370622754	
x934: 0.8677965999	
x935: 0.6162078977	
x936: 0.1209909841	
x937: -1.320807934	
x938: -0.005774782971	
x939: 0.2073320746	
x940: 0.5078236461	
x941: -0.9111376405	
x942: 0.09265127778	
x943: 1.719555259	
x944: -0.5499537587	
x945: 0.1076425239	
x946: 0.1792001426	
x947: -0.9158635736	
x948: 0.36385414	
x949: 0.2133735716	
x950: -2.375244856	
x951: 2.217700481	
x952: 1.377218604	
x953: 1.212864161	
x954: 0.8596050143	
x955: -0.3401770294	
x956: -1.197009206	
x957: -0.4676247537	
x958: 0.5047793984	
x959: 1.912934899	
x960: -0.999758482	
x961: 1.869925737	
x962: -1.049949527	
x963: 0.8060230017	
x964: -0.07027172297	
x965: -1.949592471	
x966: 2.502086163	
x967: -1.204118371	
x968: -0.7049644589	
x969: -0.4484779537	
x970: -0.3729610443	
x971: 0.2153266519	
x972: 0.3317260742	
x973: 2.094507694	
x974: 1.424202442	
x975: 0.9656333923	
x976: -0.655012846	
x977: 1.076621294	
x978: -0.1965412498	
x979: -0.2864212692	
x980: 0.5481371284	
x981: -1.193142772	
x982: -2.402929306	
x983: -0.4114415348	
x984: -0.8413140178	
x985: 0.8553287387	
x986: -0.2606451511	
x987: 1.441423774	
x988: -0.5230399966	
x989: 0.6279509664	
x990: 0.4919259846	
x991: 0.393581748	
x992: -0.9679478407	
x993: 0.06137109548	
x994: -0.1254835576	
x995: -0.5762022734	
x996: -0.3043545783	
x997: -0.4826041758	
x998: -0.3097702563	
x999: -0.8611918092	
x1000: -1.219842076	


Matriz A:

6.846506596	-3.506503344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
